Year,Month,Day,statefips,countyfips,O3_max_pred,O3_med_pred,O3_mean_pred,O3_pop_pred
2001,JAN,1,5,47,32.596016,32.106694,32.22182333,32.27350401
2001,JAN,1,5,49,31.477966,31.4237355,31.4237355,31.42519257
2001,JAN,1,5,51,33.074714,32.8035425,32.82102765,32.82905488
2001,JAN,1,5,53,32.244507,32.0192205,32.0395895,32.02951301
2001,JAN,1,5,55,30.411061,30.235131,30.20741556,30.20959111
2001,JAN,1,5,57,34.327097,34.10318,34.1516358,34.12842861
2001,JAN,1,5,59,32.96788,32.321467,32.458883,32.47299119
2001,JAN,1,5,61,34.679089,34.491593,34.47671767,34.49026389
2001,JAN,1,5,63,31.624732,31.4275665,31.44182325,31.42610503
2001,JAN,1,5,65,31.823849,31.65757,31.6559325,31.64670394
2001,JAN,1,5,67,31.329919,31.087594,31.0429676,30.99655445
2001,JAN,1,5,69,32.158178,31.7516315,31.76942071,31.75634595
2001,JAN,1,5,71,33.212089,32.9569975,32.95072617,32.9491617
2001,JAN,1,5,73,34.76787,34.4645765,34.4645765,34.39273026
2001,JAN,1,5,75,31.400877,30.701176,30.80599967,30.82225504
2001,JAN,1,5,77,32.051663,31.7603115,31.790497,31.76502534
2001,JAN,1,5,79,32.946311,32.544641,32.53509475,32.58545867
2001,JAN,1,5,81,34.669244,34.4105325,34.41172275,34.37905348
2001,JAN,1,5,83,33.053943,32.5620345,32.613595,32.61166152
2001,JAN,1,5,85,32.233446,31.6889415,31.70817231,31.67078496
2001,JAN,1,5,87,32.208088,31.5042265,31.547994,31.52247345
2001,JAN,1,5,89,31.373051,31.30276,31.29903875,31.30908
2001,JAN,1,5,91,34.375566,33.907817,33.97168058,34.01311919
2001,JAN,1,5,93,30.75161,30.156995,30.26740183,30.21451092
2001,JAN,1,5,95,32.396373,32.294327,32.18803333,32.12653901
2001,JAN,1,5,97,33.649507,33.235351,33.29325733,33.32400473
2001,JAN,1,5,99,33.998464,33.770376,33.74306767,33.63850686
2001,JAN,1,5,101,32.381234,32.221639,32.221639,32.225011
2001,JAN,1,5,103,33.565406,33.442068,33.42965583,33.42350144
2001,JAN,1,5,105,32.982644,32.47056,32.42714,32.23446723
2001,JAN,1,5,107,32.2599,32.0375285,32.04695967,32.04014327
2001,JAN,1,5,109,33.999886,33.992913,33.86607367,33.85031763
2001,JAN,1,5,111,30.890194,30.749065,30.73378829,30.71466305
2001,JAN,1,5,113,34.477955,33.9648005,34.0225575,33.95281863
2001,JAN,1,5,115,33.220996,32.897886,32.82869609,32.83585223
2001,JAN,1,5,117,32.406012,32.140687,32.174108,32.13855559
2001,JAN,1,5,119,31.80718,30.623279,30.69503822,30.72440778
2001,JAN,1,5,121,30.913378,30.4866425,30.54433625,30.59137576
2001,JAN,1,5,123,31.545069,31.3576885,31.413202,31.42419262
2001,JAN,1,5,125,32.600058,31.529546,31.56883505,31.5600646
2001,JAN,1,5,127,33.174067,33.098563,33.05227333,33.03062527
2001,JAN,1,5,129,31.842638,31.67048,31.72213733,31.70958645
2001,JAN,1,5,131,32.766495,31.7271875,31.79107815,31.82839962
2001,JAN,1,5,133,34.512543,34.478369,34.44922975,34.45179212
2001,JAN,1,5,135,31.359167,31.1068455,31.146132,31.17713673
2001,JAN,1,5,137,32.053906,32.051661,32.00583467,32.03370587
2001,JAN,1,5,139,33.807966,33.306967,33.3216594,33.34498528
2001,JAN,1,5,141,32.147143,31.97727,31.8394984,31.81182152
2001,JAN,1,5,143,30.867478,29.569254,29.66196938,29.63515523
2001,JAN,1,5,145,31.917271,31.740624,31.74434277,31.74780929
2001,JAN,1,5,147,31.694702,31.638986,31.638986,31.62584746
2001,JAN,1,5,149,33.068293,32.885814,32.87590467,32.89445473
2001,JAN,1,6,1,21.160731,19.5895355,19.69315306,19.71780617
2001,JAN,1,6,3,34.184966,34.184966,34.184966,34.184966
2001,JAN,1,6,5,32.198959,23.681293,24.159936,23.52570791
2001,JAN,1,6,7,29.240784,25.794697,26.39509051,26.42341228
2001,JAN,1,6,9,31.414805,25.114227,25.0935842,23.64862501
2001,JAN,1,6,11,21.496876,20.095522,20.225904,20.05074045
2001,JAN,1,6,13,21.019113,19.0205705,18.89191823,18.79431786
2001,JAN,1,6,15,29.460783,29.222058,29.19395029,29.24729658
2001,JAN,1,6,17,34.494622,29.456517,28.45372663,27.6173285
2001,JAN,1,6,19,41.360063,37.780966,37.71393257,37.6911189
2001,JAN,1,6,21,24.04692,22.950202,22.72959417,22.79282287
2001,JAN,1,6,23,27.419464,25.593333,25.36798563,25.35165314
2001,JAN,1,6,25,29.599296,27.980476,27.77286342,27.83917105
2001,JAN,1,6,27,40.24468,38.6164425,37.3668935,37.29312356
2001,JAN,1,6,29,45.842491,42.450835,41.12781034,41.19001292
2001,JAN,1,6,31,35.57775,33.42303,33.81500389,33.84452326
2001,JAN,1,6,33,20.110678,19.64606,19.4861614,19.52970879
2001,JAN,1,6,35,30.474398,27.120557,27.14384511,26.72329012
2001,JAN,1,6,37,36.803616,19.604163,20.53854589,20.53883047
2001,JAN,1,6,39,40.614577,38.520479,38.432488,38.38941194
2001,JAN,1,6,41,20.650154,20.008055,20.01063224,20.00246669
2001,JAN,1,6,43,38.423494,36.6425355,35.9311305,35.64191188
2001,JAN,1,6,45,19.011297,17.0123385,17.1739821,16.94230369
2001,JAN,1,6,47,35.460492,29.554682,29.12380894,28.99773102
2001,JAN,1,6,49,32.02109,31.078581,31.13919425,31.16616201
2001,JAN,1,6,51,40.002986,38.503017,37.98820467,38.8366419
2001,JAN,1,6,53,36.388632,31.523615,31.90181431,32.12893756
2001,JAN,1,6,55,19.090776,17.5679125,17.7785429,17.77987375
2001,JAN,1,6,57,35.136183,31.8630495,30.94765775,31.37364064
2001,JAN,1,6,59,29.961372,20.9218495,21.83417642,21.86157471
2001,JAN,1,6,61,33.373044,21.029281,22.60292132,22.08315815
2001,JAN,1,6,63,32.303678,26.1175,26.86435357,25.98705951
2001,JAN,1,6,65,32.507633,30.006414,29.93476166,29.93113418
2001,JAN,1,6,67,21.747106,16.427215,16.87685756,16.86812569
2001,JAN,1,6,69,35.041613,30.673726,31.08488655,30.89314711
2001,JAN,1,6,71,32.082854,27.729446,27.30221016,27.25956085
2001,JAN,1,6,73,30.889853,24.319423,24.44391778,24.64790371
2001,JAN,1,6,75,20.796787,19.113072,19.11919083,19.11097104
2001,JAN,1,6,77,18.994025,14.883393,15.37492099,15.48813423
2001,JAN,1,6,79,40.699258,37.003333,37.19757826,37.28435758
2001,JAN,1,6,81,21.281731,18.718008,18.70832922,18.73566788
2001,JAN,1,6,83,40.6801,33.676709,35.27569327,35.60090104
2001,JAN,1,6,85,28.061664,20.395638,20.91063656,20.9425551
2001,JAN,1,6,87,29.290874,27.355616,27.21831527,27.29866009
2001,JAN,1,6,89,33.893387,25.0946005,25.95917692,25.87976513
2001,JAN,1,6,91,26.33741,26.33741,26.33741,26.33741
2001,JAN,1,6,93,31.157363,30.2448075,30.18884786,30.11897986
2001,JAN,1,6,95,19.61671,17.181372,17.75451009,17.64539506
2001,JAN,1,6,97,21.07318,19.145519,19.36531772,19.31841956
2001,JAN,1,6,99,23.039044,17.65653,18.25093653,18.33245608
2001,JAN,1,6,101,23.022252,20.609795,20.78497748,20.84272373
2001,JAN,1,6,103,29.343953,24.290892,24.63853064,24.51923726
2001,JAN,1,6,105,27.753274,26.649289,25.4977142,26.22981506
2001,JAN,1,6,107,39.934083,37.097896,37.04978064,37.07663013
2001,JAN,1,6,109,35.723565,27.354348,28.433145,28.60935448
2001,JAN,1,6,111,38.231312,27.388358,27.79044924,27.67142393
2001,JAN,1,6,113,18.526278,16.978445,16.94416395,16.95002907
2001,JAN,1,6,115,31.028846,21.745179,23.109202,22.91182663
2001,JAN,1,8,1,15.531295,13.44739,13.54572096,13.55141989
2001,JAN,1,8,3,28.4383,28.252777,28.226717,28.22885782
2001,JAN,1,8,5,16.989178,14.326837,14.43826767,14.37889805
2001,JAN,1,8,7,24.698248,22.879922,22.99868775,23.09954698
2001,JAN,1,8,9,27.291583,26.9773955,26.9773955,26.95151733
2001,JAN,1,8,11,26.794232,26.794232,26.794232,26.794232
2001,JAN,1,8,13,30.031763,20.90222,21.23411234,21.15935464
2001,JAN,1,8,14,18.212317,16.414676,16.62212283,16.28587835
2001,JAN,1,8,15,29.055879,28.119442,28.3238378,28.35966464
2001,JAN,1,8,17,23.769539,23.769539,23.769539,23.769539
2001,JAN,1,8,19,27.317048,24.796628,25.41491767,25.1320671
2001,JAN,1,8,21,28.757417,27.9163675,27.9163675,27.86726553
2001,JAN,1,8,23,29.864673,29.5252165,29.5252165,29.54756437
2001,JAN,1,8,25,26.02552,26.02552,26.02552,26.02552
2001,JAN,1,8,27,27.525886,27.525886,27.525886,27.525886
2001,JAN,1,8,29,32.96439,32.403002,32.36648443,32.34254699
2001,JAN,1,8,31,16.387187,13.0943235,13.30984283,13.32018491
2001,JAN,1,8,33,33.098063,33.098063,33.098063,33.098063
2001,JAN,1,8,35,21.445513,16.699688,17.091416,16.99804549
2001,JAN,1,8,37,32.393539,31.420489,31.50642586,31.65162024
2001,JAN,1,8,39,20.532973,18.515704,18.36338143,17.86331882
2001,JAN,1,8,41,24.97724,23.135427,23.07877495,23.00130282
2001,JAN,1,8,43,27.132107,26.525193,26.50043307,26.44291945
2001,JAN,1,8,45,32.827436,32.690865,32.591386,32.61470364
2001,JAN,1,8,47,25.597246,25.597246,25.597246,25.597246
2001,JAN,1,8,49,32.697558,32.40101,31.83907267,31.54700342
2001,JAN,1,8,51,30.724017,30.12768,30.20062525,30.05432131
2001,JAN,1,8,53,27.769995,27.769995,27.769995,27.769995
2001,JAN,1,8,55,29.201701,29.1363795,29.1363795,29.13477347
2001,JAN,1,8,57,32.6245,32.6245,32.6245,32.6245
2001,JAN,1,8,59,22.028283,16.390224,16.4539028,16.41972118
2001,JAN,1,8,61,24.584082,24.584082,24.584082,24.584082
2001,JAN,1,8,63,22.512898,22.345646,22.37018767,22.4420273
2001,JAN,1,8,65,29.990695,29.8504,29.8504,29.90740084
2001,JAN,1,8,67,26.285912,23.3498995,23.3923121,23.21424511
2001,JAN,1,8,69,31.979402,21.95205,22.63480752,22.31011516
2001,JAN,1,8,71,30.658891,30.4764715,30.46734617,30.46616027
2001,JAN,1,8,73,23.000686,21.941991,21.941991,21.69818324
2001,JAN,1,8,75,20.690475,19.847321,19.904537,19.86044074
2001,JAN,1,8,77,34.149802,33.05324,33.09384172,33.09108331
2001,JAN,1,8,79,26.516281,26.516281,26.516281,26.516281
2001,JAN,1,8,81,32.00386,31.9865675,31.84666825,31.79789028
2001,JAN,1,8,83,34.148281,33.338816,32.69530757,32.73128346
2001,JAN,1,8,85,34.246382,31.810193,32.0484014,31.94539493
2001,JAN,1,8,87,17.434025,16.710549,16.75841775,16.73534462
2001,JAN,1,8,89,28.156644,27.352617,27.40165671,27.44506627
2001,JAN,1,8,91,30.646941,30.646941,30.646941,30.646941
2001,JAN,1,8,93,28.688126,26.341248,26.2670908,25.81558498
2001,JAN,1,8,95,22.057508,21.728804,21.728804,21.84572258
2001,JAN,1,8,97,31.733743,31.1934965,31.26867875,31.39052869
2001,JAN,1,8,99,25.318816,25.152184,24.9842846,25.0735656
2001,JAN,1,8,101,28.158662,26.697931,26.70187062,26.72417867
2001,JAN,1,8,103,32.454517,32.28035,32.28035,32.30778405
2001,JAN,1,8,105,27.764523,27.361553,27.39250467,27.41817756
2001,JAN,1,8,107,32.774099,32.449553,32.49565213,32.51970629
2001,JAN,1,8,109,28.348148,27.8347955,27.8347955,27.84975567
2001,JAN,1,8,111,28.13767,28.13767,28.13767,28.13767
2001,JAN,1,8,113,33.791025,30.409623,31.01993575,30.81833656
2001,JAN,1,8,115,22.038744,22.038744,22.038744,22.038744
2001,JAN,1,8,117,31.160138,29.052432,29.2395346,29.31619977
2001,JAN,1,8,119,25.14014,23.6706935,23.86252183,23.52610326
2001,JAN,1,8,121,19.784357,19.2146275,19.2146275,19.15355969
2001,JAN,1,8,123,18.806909,15.44821,15.86475701,15.81405539
2001,JAN,1,8,125,21.643444,21.333043,21.333043,21.30711186
2001,JAN,1,9,1,35.216755,32.8044135,32.95698161,33.01956605
2001,JAN,1,9,3,36.023863,34.1770935,34.25112216,34.26471344
2001,JAN,1,9,5,36.137094,35.743259,35.6629312,35.62758755
2001,JAN,1,9,7,33.92377,33.7789625,33.77453772,33.77326646
2001,JAN,1,9,9,35.304751,33.667532,33.80567865,33.79332065
2001,JAN,1,9,11,33.945255,33.32078,33.32300394,33.32868333
2001,JAN,1,9,13,34.72069,34.084391,34.07605803,34.07353269
2001,JAN,1,9,15,34.298429,33.841014,33.81861408,33.81025691
2001,JAN,1,10,1,32.700014,32.270312,32.29372944,32.29658209
2001,JAN,1,10,3,33.503434,32.271316,32.30679645,32.36682754
2001,JAN,1,10,5,33.783762,31.970255,31.99653579,31.7808676
2001,JAN,1,11,1,26.03276,25.125256,25.1096403,25.12427318
2001,JAN,1,12,1,37.920444,37.4864975,37.50836329,37.51416131
2001,JAN,1,12,3,37.561267,37.5316605,37.5371535,37.53565532
2001,JAN,1,12,5,34.691486,34.266531,34.27317919,34.23467808
2001,JAN,1,12,7,37.888349,37.785143,37.80441325,37.81139331
2001,JAN,1,12,9,32.121655,29.446606,29.49481742,29.57940122
